brand,price,fuel,month,year,mileage,power,url
Volvo XC 40 1.5 T3 R-Design,36500.0,Gasolina,Janeiro,2020,49900,163,https://www.standvirtual.com/carros/anuncio/volvo-xc-40-1-5-t3-r-design-ID8PzDbi.html
BMW 116 d EfficientDynamics,15900.0,Diesel,Maio,2016,153900,116,https://www.standvirtual.com/carros/anuncio/bmw-116-d-efficientdynamics-ID8PzB8E.html
Peugeot 3008 1.6 BlueHDi GT Line EAT6,24900.0,Diesel,Janeiro,2018,173000,120,https://www.standvirtual.com/carros/anuncio/peugeot-3008-1-6-bluehdi-gt-line-eat6-ID8Pz0oB.html
Mercedes-Benz GLC 300 e 4Matic,79500.0,Híbrido (Gasolina),Março,2023,22500,313,https://www.standvirtual.com/carros/anuncio/mercedes-benz-glc-300-e-4matic-ID8PxgHu.html
Audi Q2 30 TFSI Sport S tronic,23000.0,Gasolina,Março,2019,96790,116,https://www.standvirtual.com/carros/anuncio/audi-q2-30-tfsi-sport-s-tronic-ID8PzRN4.html
Toyota Prius 1.8 Plug-In Exclusive,32500.0,Híbrido (Gasolina),Fevereiro,2020,15475,122,https://www.standvirtual.com/carros/anuncio/toyota-prius-1-8-plug-in-exclusive-ID8PzUIs.html
Hyundai Tucson 1.7 CRDi Creative Plus,15250.0,Diesel,Março,2016,265000,116,https://www.standvirtual.com/carros/anuncio/hyundai-tucson-1-7-crdi-creative-plus-ID8PzKlb.html
Mercedes-Benz E 300 De AMG Line,52900.0,Híbrido (Diesel),Março,2021,57500,306,https://www.standvirtual.com/carros/anuncio/mercedes-benz-e-300-de-amg-line-ID8PvL0u.html
Citroën C3 1.1 Attraction,7700.0,Gasolina,Julho,2011,130000,60,https://www.standvirtual.com/carros/anuncio/citron-c3-1-1-attraction-ID8PuxLB.html
Volvo XC 40 1.5 T5 PHEV Momentum Plus,38850.0,Híbrido (Gasolina),Novembro,2020,71000,262,https://www.standvirtual.com/carros/anuncio/volvo-xc-40-1-5-t5-phev-momentum-plus-ID8Pxn6L.html
Ford Kuga 2.0 TDCi 4x4 Aut. Titanium,20500.0,Diesel,Junho,2018,130501,140,https://www.standvirtual.com/carros/anuncio/ford-kuga-2-0-tdci-4x4-aut-titanium-ID8PyiAI.html
VW Polo 1.6 TDI Trendline,17500.0,Diesel,Junho,2019,128000,80,https://www.standvirtual.com/carros/anuncio/vw-polo-1-6-tdi-trendline-ID8Pr32v.html
Peugeot 5008 1.5 BlueHDi Crossway,27500.0,Diesel,Julho,2018,96000,130,https://www.standvirtual.com/carros/anuncio/peugeot-5008-1-5-bluehdi-crossway-ID8PyBfW.html
Peugeot 2008 1.5 BlueHDi Signature,16950.0,Diesel,Dezembro,2019,143000,102,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-5-bluehdi-signature-ID8PsLcb.html
SEAT Leon ST 1.6 TDI Style Ecomotive,14449.0,Diesel,Janeiro,2016,112131,110,https://www.standvirtual.com/carros/anuncio/seat-leon-st-1-6-tdi-style-ecomotive-ID8Px3ZN.html
"Toyota bZ4X 71,4 kWh Premium",49900.0,Eléctrico,Junho,2022,18344,204,https://www.standvirtual.com/carros/anuncio/toyota-bz4x-71-4-kwh-premium-ID8Pz0Sj.html
VW T-Cross 1.0 TSI Life,21480.0,Gasolina,Julho,2022,34001,95,https://www.standvirtual.com/carros/anuncio/vw-t-cross-1-0-tsi-life-ID8PzUIq.html
Kia Stonic 1.2 Dynamic,19820.0,Gasolina,Novembro,2023,10,84,https://www.standvirtual.com/carros/anuncio/kia-stonic-1-2-dynamic-ID8PojIr.html
Peugeot 208 1.2 PureTech Allure Pack,18480.0,Gasolina,Março,2021,27704,101,https://www.standvirtual.com/carros/anuncio/peugeot-208-1-2-puretech-allure-pack-ID8PyOXn.html
Jeep Wrangler 2.8 CRD ATX Sport,30700.0,Diesel,Maio,2010,98800,177,https://www.standvirtual.com/carros/anuncio/jeep-wrangler-2-8-crd-atx-sport-ID8Pyh2U.html
Renault Clio 0.9 TCe Limited,12900.0,Gasolina,Julho,2017,104415,90,https://www.standvirtual.com/carros/anuncio/renault-clio-0-9-tce-limited-ID8Pzylf.html
Mercedes-Benz GLC 250 d Exclusive 4-Matic,28950.0,Diesel,Setembro,2015,235000,204,https://www.standvirtual.com/carros/anuncio/mercedes-benz-glc-250-d-exclusive-4-matic-ID8Pz8iL.html
VW Polo 1.0 TSI Confortline,17850.0,Gasolina,Fevereiro,2020,10035,95,https://www.standvirtual.com/carros/anuncio/vw-polo-1-0-tsi-confortline-ID8Pxhc1.html
Mercedes-Benz CLA 200 d AMG Line,33900.0,Diesel,Fevereiro,2018,45000,136,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-200-d-amg-line-ID8Py2Ip.html
Peugeot 2008 1.5 BlueHDi Allure Pack,24999.0,Diesel,Julho,2022,27624,110,https://www.standvirtual.com/carros/anuncio/peugeot-2008-1-5-bluehdi-allure-pack-ID8PzfgN.html
BMW 520 d Line Luxury Auto,33990.0,Diesel,Novembro,2018,81000,190,https://www.standvirtual.com/carros/anuncio/bmw-520-d-line-luxury-auto-ID8PuPfw.html
Renault Clio Sport Tourer 0.9 TCe Limited,14990.0,Gasolina,Fevereiro,2018,50000,90,https://www.standvirtual.com/carros/anuncio/renault-clio-sport-tourer-0-9-tce-limited-ID8PzrNP.html
Mercedes-Benz CLA 200 d Shooting Brake Progressive Aut.,32400.0,Diesel,Janeiro,2020,167605,150,https://www.standvirtual.com/carros/anuncio/mercedes-benz-cla-200-d-shooting-brake-progressive-aut-ID8PwfnB.html
Opel Astra 1.5 D Elegance,27990.0,Diesel,Novembro,2022,15715,130,https://www.standvirtual.com/carros/anuncio/opel-astra-1-5-d-elegance-ID8Pz2X8.html
Lamborghini Gallardo,149990.0,Gasolina,Agosto,2008,44285,520,https://www.standvirtual.com/carros/anuncio/lamborghini-gallardo-ID8PwhDn.html
Mercedes-Benz A 180 d AMG Line Aut.,38900.0,Diesel,Outubro,2022,21000,116,https://www.standvirtual.com/carros/anuncio/mercedes-benz-a-180-d-amg-line-aut-ID8PtUIJ.html
Volvo V60 2.0 T8 AWD TE Inscription,38500.0,Híbrido (Gasolina),Abril,2019,106000,392,https://www.standvirtual.com/carros/anuncio/volvo-v60-2-0-t8-awd-te-inscription-ID8PzPx8.html
BMW 320 d Touring Pack M Auto,39500.0,Diesel,Maio,2020,106836,190,https://www.standvirtual.com/carros/anuncio/bmw-320-d-touring-pack-m-auto-ID8PxqgL.html
BMW 520 d Pack M Auto,36500.0,Diesel,Junho,2018,134016,190,https://www.standvirtual.com/carros/anuncio/bmw-520-d-pack-m-auto-ID8Po5dQ.html
BMW 118 d Sport Line,12690.0,Diesel,Outubro,2011,243000,143,https://www.standvirtual.com/carros/anuncio/bmw-118-d-sport-line-ID8Pv6QY.html
